Name,Team,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Taylor Trammell","HOU",18,12,95.9416675567627,110.5,111.3,28.25,5,0.41666667,8,0.66666667,0.25,0.3365000037010759,0.8125,1.0393749938812107,0.46923399302694535,0.581124441491233,"Taylor Trammell",19960,666211
"Esmerlyn Valdez","PIT",25,14,100.32142802647182,110.7,110.8,22.428571428571427,7,0.5,12,0.85714286,0.5,0.3424090932716023,1.227272727,0.964454547925429,0.721359236240387,0.5602743935585022,"Esmerlyn Valdez",29005,699013
"Rowdy Tellez","ATL",8,5,95.0199981689453,105.9,105.9,24.8,2,0.4,3,0.6,0.25,0.3528749942779541,0.625,0.9558749496936798,0.367932952940464,0.5425000041723251,"Rowdy Tellez",15679,642133
"Nick Solak","SDP",5,3,92.5999984741211,98.9,98.9,13.666666666666666,1,0.33333333,2,0.66666667,0,0.2653333246707916,0,0.7073333263397217,0.2859773516654968,0.530050802230835,"Nick Solak",19294,669256
"Graham Pauley","MIA",6,5,90.62000122070313,100,100,21.8,1,0.2,4,0.8,0.333333333,0.4198333223660787,0.666666666,0.7473333279291788,0.42110927899678546,0.49649999539057416,"Graham Pauley",31363,688363
"Luis García Jr.","WSN",41,32,92.57096739738218,108.5,114,16.193548387096776,7,0.21875,15,0.46875,0.405405405,0.3364324281747277,1.027027027,0.7764864907272764,0.6106626435023982,0.4892556065829789,"Luis Garcia Jr.",20391,671277
"Heliot Ramos","SFG",8,6,90.48333231608073,106.5,106.5,3.6666666666666665,1,0.16666667,4,0.66666667,0.285714285,0.33842856543404715,0.714285714,0.6961428267615182,0.45536448806524277,0.46945250034332275,"Heliot Ramos",22515,671218
"Mike Trout","LAA",9,6,86.71666463216145,110.8,110.8,0.5,1,0.16666667,2,0.33333333,0.375,0.3108750022947788,0.875,0.7530000060796738,0.5451381935013665,0.4689577685462104,"Mike Trout",10155,545361
"Casey Schmitt","SFG",44,38,92.76842137386924,106.2,110.7,23.473684210526315,6,0.15789474,21,0.55263158,0.348837209,0.4107441860576009,0.465116279,0.667837192845899,0.34720633788542316,0.46879545937884937,"Casey Schmitt",27577,669477
"Jac Caglianone","KCR",49,29,96.13793024523505,110.5,113,9.379310344827585,8,0.27586207,19,0.65517241,0.222222222,0.3110000030861961,0.666666666,0.7576888855960634,0.39618128659773844,0.46617334107963404,"Jac Caglianone",35041,695506
"Kyle Stowers","MIA",47,23,92.68260756782864,107.7,110.8,18.782608695652176,6,0.26086957,15,0.65217391,0.307692307,0.31728205123008824,0.692307692,0.682025648940068,0.46372412339500757,0.46352973920495616,"Kyle Stowers",26151,669065
"Brandon Nimmo","TEX",53,38,95.87631546823602,107.5,110.5,11.210526315789474,10,0.26315789,22,0.57894737,0.3125,0.359479159116745,0.520833333,0.6762291540702184,0.3886055091641984,0.4620207503156842,"Brandon Nimmo",12927,607043
"Miguel Vargas","CHW",52,38,91.08108169968064,103.8,105.1,20.513513513513512,7,0.18421053,17,0.44736842,0.276595744,0.3424130366386279,0.553191489,0.6847391316221784,0.38568440308937657,0.4609039286699365,"Miguel Vargas",20178,678246
"Miguel Andujar","SDP",19,15,89.43333231608072,106.7,108.4,5.333333333333333,1,0.06666667,5,0.33333333,0.3125,0.4113750086980872,0.4375,0.5325624860124663,0.3858221079173841,0.45725653173499986,"Miguel Andujar",15878,609280
