Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Drew Rasmussen","TBR",2,1,0,3,3,21,12.428571428571429,0.42857142857142855,0.42857142857142855,0.2,1,0.45,0.076923076,95.97575073242187,0.42857142857142855,1.7466666640493347,1.235921164921352,1.5390345960145906,1.0934534271892107,"Drew Rasmussen",25385,656876
"Jacob Misiorowski","MIL",2,0,0,2,2,16,12.9375,1.6875,0,0.1724137931034483,0.88888889,0.551724137,0,101.39871705033397,0,1.217841525459525,0.9680640220642092,1.8990920053794982,0.8937503562745385,"Jacob Misiorowski",31623,694819
"Reid Detmers","LAA",1,0,0,3,3,20,8.1,0.9,0.45,0.10869565217391304,1,0.29787234,0.045454545,94.60825233759843,0.45,1.9772381255436882,2.243064022064209,3.2316732726991177,0.7968715765690458,"Reid Detmers",27468,672282
"Logan Webb","SFG",1,0,0,2,2,16,7.875,0,0,0.27906976744186046,0.83333333,0.372093023,0,92.90340482271634,0.5625,2.402010331630425,1.3430640220642092,2.9258115937002005,0.785044033814602,"Logan Webb",17995,657277
"Dustin May","STL",2,0,0,2,2,15,9,1.2,0,0.15151515151515152,1,0.545454545,0,96.92679636101974,0,1.580306423261657,1.493064022064209,2.684779840707779,0.6687018403588145,"Dustin May",19716,669160
"Ranger Suarez","BOS",0,0,0,2,2,11.1,10.323529701331916,1.5882353386664485,0,0.36363636363636365,0.78571429,0.303030303,0,91.65710663377193,2.3823530079996726,2.301381395876599,1.3283580902125998,3.562825312844411,0.659188640183964,"Ranger Suarez",17277,624133
"Gage Jump","ATH",2,0,0,3,3,18.1,7.854545590739607,3.4363636959485784,0,0.1956521739130435,0.8125,0.456521739,0,96.51359974254261,1.4727272982636763,3.0405742180932163,2.493064011660489,4.1181310652614425,0.6141072968590877,"Gage Jump",35418,695611
"Yoshinobu Yamamoto","LAD",2,0,0,2,2,16.1,6.061224607763964,0,0.5510204188876331,0.04878048780487805,0.625,0.536585365,0.071428571,96.045263671875,1.1020408377752662,1.7657205090844885,2.542043603176576,3.0229636223077696,0.6140498785745931,"Yoshinobu Yamamoto",33825,808967
"Nolan McLean","NYM",1,0,0,3,3,17,10.588235294117647,4.235294117647059,0,0.23076923076923078,0.77777778,0.54054054,0,96.14929754083806,1.588235294117647,2.6208434946930343,2.328358139711268,3.204619771066834,0.601182191030428,"Nolan McLean",33703,690997
"Dylan Cease","TOR",1,0,0,2,2,11,14.727272727272727,4.090909090909091,0,0.3181818181818182,0.91666667,0.363636363,0,97.79936449455492,0.8181818181818182,2.28123124884079,1.1839731129733,2.1319288778034124,0.5909501524000145,"Dylan Cease",18525,656302
