Name,Team,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Rowdy Tellez","ATL",6,4,92.32499694824219,105.9,105.9,24,1,0.25,2,0.5,0.2,0.3799999952316284,0.2,0.8049999237060547,0.2650311390558879,0.5304096738497416,"Rowdy Tellez",15679,642133
"Garrett Mitchell","MIL",41,26,95.91153863760141,109.1,111.8,8.73076923076923,7,0.26923077,18,0.69230769,0.388888888,0.3783888957566685,0.777777777,0.826972229199277,0.5178821232260727,0.5299339138153123,"Garrett Mitchell",27555,669003
"Luis García Jr.","WSN",47,36,92.27500004238553,108.1,114,17.86111111111111,8,0.22222222,19,0.52777778,0.404761904,0.3636666586001714,1.071428571,0.8229761982247943,0.6240729118915315,0.5188785055850414,"Luis Garcia Jr.",20391,671277
"Heliot Ramos","SFG",34,26,94.75,110.7,111.7,4.961538461538462,8,0.30769231,17,0.65384615,0.3125,0.3691562442108989,0.84375,0.8328749807551503,0.4907907387789558,0.5158210659728331,"Heliot Ramos",22515,671218
"Tyler O'Neill","BAL",17,7,95.24285670689174,109.5,109.5,17,2,0.28571429,3,0.42857143,0.166666666,0.3188333424429099,0.5,0.7061666746934255,0.4000392801621381,0.5114876338664223,"Tyler O'Neill",15711,641933
"Graham Pauley","MIA",6,5,90.62000122070313,100,100,21.8,1,0.2,4,0.8,0.333333333,0.4198333223660787,0.666666666,0.7473333279291788,0.42008793354034424,0.49649999539057416,"Graham Pauley",31363,688363
"Miguel Vargas","CHW",56,39,92.97948827498999,104.1,106.3,19.23076923076923,8,0.20512821,22,0.56410256,0.311111111,0.33837777607970765,0.688888888,0.7162000023656421,0.45855184251611886,0.49187494191256437,"Miguel Vargas",20178,678246
"Willson Contreras","BOS",49,35,92.28571428571429,112.2,114.4,19.457142857142856,7,0.2,19,0.54285714,0.302325581,0.3437441885471344,0.65116279,0.7194185936173727,0.4386047173519524,0.4786683278424399,"Willson Contreras",11609,575929
"Rafael Devers","SFG",53,37,93.16216174976246,108,111.4,18.37837837837838,9,0.24324324,20,0.54054054,0.29787234,0.28706382944228803,0.765957446,0.8012553161763131,0.4735545774675765,0.47852354791929136,"Rafael Devers",17350,646240
"Juan Soto","NYM",51,33,90.19090964577414,104.9,107.8,13.030303030303031,5,0.15151515,15,0.45454545,0.297297297,0.33581081516033895,0.54054054,0.5887297343563389,0.44533937215805053,0.4731190812587738,"Juan Soto",20123,665742
