Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Stone Garrett","WSN",2,5,6,3,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0.6,"Stone Garrett",19273,656448
"Darren Baker","WSN",9,14,14,7,5,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0.5,"Darren Baker",29912,671117
"Eduardo Valencia","DET",6,12,13,5,3,0,0,2,3,3,0,0,4,1,0,0,0,0,0,0.416666666,"Eduardo Valencia",24574,680664
"Joshua Kuroda-Grauer","ATH",15,57,59,23,16,7,0,0,7,3,1,0,6,1,0,0,3,0,1,0.403508771,"Joshua Kuroda-Grauer",35121,811965
"Brewer Hicklen","- - -",7,19,22,7,4,3,0,0,4,2,3,0,8,0,0,0,0,2,0,0.368421052,"Brewer Hicklen",20450,676551
"Diego Castillo","MIN",4,6,8,2,1,1,0,0,3,2,2,0,1,0,0,0,0,0,0,0.333333333,"Diego Castillo",19906,660636
"Samad Taylor","- - -",33,101,116,32,29,1,1,1,17,11,12,0,32,0,0,3,2,6,1,0.316831683,"Samad Taylor",22274,669392
"Tyler Tolbert","KCR",100,108,121,34,28,3,0,3,36,11,5,0,22,3,3,2,4,32,5,0.314814814,"Tyler Tolbert",25779,686475
"Aaron Judge","NYY",369,1314,1644,412,205,76,3,128,302,296,299,61,403,18,10,0,46,27,8,0.313546423,"Aaron Judge",15640,592450
"Luis Arraez","- - -",398,1631,1763,503,389,84,14,16,197,143,83,7,68,13,16,20,36,28,7,0.308399754,"Luis Arraez",18568,650333
"Trey Mancini","LAA",5,13,14,4,3,0,1,0,1,4,0,0,3,0,1,0,1,0,0,0.307692307,"Trey Mancini",15149,641820
"Yordan Alvarez","HOU",294,1077,1268,330,194,62,2,72,170,186,163,37,202,15,13,0,18,8,1,0.306406685,"Yordan Alvarez",19556,670541
"Bobby Witt Jr.","KCR",411,1627,1808,498,298,114,18,68,275,236,146,21,303,17,18,0,17,99,26,0.306084818,"Bobby Witt Jr.",25764,677951
"Esmerlyn Valdez","PIT",31,105,118,32,12,7,1,12,23,32,12,0,44,0,1,0,4,0,1,0.304761904,"Esmerlyn Valdez",29005,699013
"Wade Meckler","LAA",45,128,142,39,29,8,0,2,19,17,14,0,32,0,0,0,1,3,0,0.3046875,"Wade Meckler",31490,685133
"David Bote","CHC",37,46,48,14,10,4,0,0,4,6,2,0,13,0,0,0,1,0,0,0.304347826,"David Bote",14593,623520
"Jake Mangum","- - -",197,649,696,194,159,28,2,5,72,60,33,1,110,8,2,4,10,45,12,0.298921417,"Jake Mangum",26202,663968
"TJ Rumfield","COL",98,348,397,104,69,20,2,13,43,51,40,0,57,7,2,0,2,0,0,0.298850574,"TJ Rumfield",29805,681198
"Xavier Edwards","MIA",309,1191,1343,355,284,45,16,10,164,106,132,7,192,3,12,5,17,72,14,0.298068849,"Xavier Edwards",22266,669364
"Jacob Wilson","OAK",212,816,877,243,184,38,3,18,101,95,46,1,78,8,3,4,25,7,2,0.297794117,"Jacob Wilson",33266,805779
"Vladimir Guerrero Jr.","TOR",409,1552,1776,462,309,93,1,59,246,228,196,25,242,15,13,0,46,15,6,0.297680412,"Vladimir Guerrero Jr.",19611,665489
"Yandy Díaz","TBR",389,1507,1684,445,313,77,3,52,185,204,146,8,244,19,12,0,34,4,2,0.295288652,"Yandy Diaz",16578,650490
"Shohei Ohtani","LAD",412,1595,1877,470,241,80,18,131,346,292,250,40,444,14,11,0,21,85,12,0.294670846,"Shohei Ohtani",19755,660271
"Victor Bericoto","SFG",24,58,59,17,10,3,0,4,7,9,1,0,15,0,0,0,2,1,2,0.293103448,"Victor Bericoto",26468,682674
"Jonathan Aranda","TBR",247,850,985,249,169,46,0,34,126,137,106,6,232,18,11,0,20,0,2,0.292941176,"Jonathan Aranda",21837,666018
"Troy Johnston","- - -",134,399,447,116,82,26,1,7,45,53,37,0,82,6,4,1,4,6,7,0.290726817,"Troy Johnston",26143,687859
